x,y,size
110.6417999,130.2437286,42.82780838
111.7285233,130.1052856,42.65401077
110.6231384,130.816803,42.98905563
105.9855576,132.1491089,42.67032623
102.4813843,133.143158,41.795681
102.0507278,133.3855286,41.90563965
105.5537415,132.65802,42.48283768
112.1915054,131.0087738,44.04725266
120.9217834,128.4064026,44.9785881
134.141922,125.5122223,46.35829926
154.8255768,123.4195862,47.6954422
181.129425,121.0286255,49.5992012
272.0039673,118.8728867,43.37597656
270.8962097,120.0824966,42.22842789
254.7641602,119.7031097,45.31943893
251.2628174,120.6958313,43.3484993
251.295166,121.2430038,43.90539551
253.4319,120.7546082,43.41581726
255.8490448,119.531311,44.1540451
256.6804199,118.7185669,44.65309525
254.4186859,117.8353806,44.38137054
252.0523071,118.0926056,43.59495163
250.2343292,118.4672318,42.14709854
249.275116,118.4176483,42.23543167
248.6681061,118.5287552,41.99008942
248.4629517,118.2991028,42.13637924
247.9740601,117.867897,42.05270767
248.4799805,117.962616,42.1302948
251.6599274,120.0398254,43.26500702
253.3795013,133.2968445,46.85689163
242.0912933,174.629715,45.66869354
270.6971741,154.2840424,9.409063339
226.1292572,133.4489746,5.393592834
226.2083282,133.402771,5.545982361
109.131691,139.0329285,7.396448135
108.0535736,138.7767792,8.576202393
106.4618454,139.2048187,10.02227688
226.3798523,133.3798523,5.385092258
228.3909454,148.9405975,30.87290955
202.223053,114.3167953,35.58013153
197.0423279,124.1638718,38.12060165
192.9179077,134.1437531,36.56658554
187.1116943,140.7294769,36.77366257
181.1936493,144.3336487,37.05558014
177.9765625,144.8342743,36.96868515
177.2462006,144.010437,36.55426788
177.388443,142.3799744,36.77363968
176.1069031,142.0073547,36.43997955
169.0362244,143.2188721,36.04616547
157.1441193,145.9008331,35.71232605
144.3977661,146.5645142,35.23755264
131.4584656,146.962326,34.94778061
117.6253204,147.7687378,35.55581665
105.6689377,147.6851959,34.96723938
95.72885895,148.1416626,33.96104813
88.20141602,148.2319794,33.66805649
83.15128326,148.4457397,33.92316818
79.83416748,150.2886353,33.84185791
77.27503967,153.2977295,33.98286819
73.30510712,155.6416016,33.9058075
70.00019073,157.2347565,33.62770081
68.55265045,158.4717865,33.61230469
67.40087891,159.3714905,33.53351212
66.62535858,160.3323822,33.2429657
66.59359741,160.7954559,33.26067352
66.76570892,160.5874023,32.78288651
66.65572357,159.7946472,32.96708679
66.50746918,159.6707916,32.80821991
66.75055695,159.450943,32.2781105
68.54524994,158.0466614,32.17579651
72.33822632,156.5651398,31.76893806
75.87517548,154.8666229,32.16658783
76.58080292,154.1585083,32.04344559
74.59163666,154.0043182,31.54251289
72.45043182,154.8205872,31.0063343
70.84647369,155.2521515,30.50584793
70.21533203,155.3110352,30.23253441
71.17694092,155.1503296,30.06894493
73.75046539,154.5995789,30.24679184
77.02542114,153.4983215,29.4098587
90.61969757,149.2162476,30.55744743
